NÚM_REGISTRE,NOM_ENTITAT,ADREÇA,CP,MUNICIPI,COMARCA,TELÈFON_FAX,CORREU_ELECTRÒNIC,TIPUS_ENTITAT,MODALITATS
18288,CLUB HANDBOL LACUSTARIA DE LLAGOSTERA,"Avinguda Esport, s/n",17240,Llagostera,Gironès,616107468 /,llagosterach@gmail.com,Clubs i Associacions Esportives,Handbol
18289,ASSOCIACIO PADEL BLANES GINPAP,"Crta. de Tordera, km 4.5",17300,Blanes,Selva,608720733 / 972354440,espaipadel@gmail.com,Clubs i Associacions Esportives,Padel
18290,CLUB ESPORTIU FUTBOL SALA BEGUR,"C/ Carles d'Homs, 13",17255,Begur,Baix Empordà,626308544 /,aitor.edu@hotmail.com,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
18291,ASOCIACION ESPORTIVA ATHLETIC FUTSAL CASTELLBISBAL,"C/ Jacinto Verdaguer, 2, 1r 2a",08755,Castellbisbal,Vallès Occidental,687794342 /,eht_taz@yahoo.es,Clubs i Associacions Esportives,"Futbol cinc (Futbol sala) Cecs, Futbol sala (Futbol cinc), Tennis taula, Voleibol"
18292,ASSOCIACIO ESPORTIVA AGUILA MARESME,"Passeig Xifré, 3, 3r",08350,Arenys de Mar,Maresme,931535742 /,aeaguila@gmail.com,Clubs i Associacions Esportives,"Atletisme, Basquetbol, Futbol, Futbol platja, Futbol sala (Futbol cinc), Natació, Tennis"
18293,ASSOCIACIO ESPORTIVA BARCELONES NORD-BESOS,"Ronda Sant Ramon de Penyafort, s/n",08930,Sant Adrià de Besòs,Barcelonès,933811040 / 933811040,besosesport@gmail.com,Clubs i Associacions Esportives,"Natació, Natació artística, Rugby, Waterpolo"
18294,CLUB PADEL BELLPUIG,"C/ Montsec, 19",25250,Bellpuig,Urgell,654398302 / 973337284,clubpadelbellpuig@gmail.com,Clubs i Associacions Esportives,Padel
18295,ASSOCIACIO ESPORTIVA CARE HORSE VALLGORGUINA,"Camí Can Bosch, 7",08471,Vallgorguina,Vallès Oriental,670279090 /,carehorse17@gmail.com,Clubs i Associacions Esportives,Hípica
18296,CLUB ARQUERS TIANA,"Ctra B-500, Km 3.100 Baix",08391,Tiana,Maresme,654101602 /,jeswusgenius@hotmail.com,Clubs i Associacions Esportives,"Recorregut de bosc o de camp, Tir a l'aire lliure, Tir amb arc, Tir en sala"
18297,CLUB ARQUERS BOWHUNTER TEAM D'AIGUAFREDA,"Carretera de Ribes, 108, 3r 1a",08591,Aiguafreda,Vallès Oriental,660157349 /,tirarcbowhunterteam@gmail.com,Clubs i Associacions Esportives,"Tir amb arc, Tir de Bosc"
18298,ASSOCIACIO ESPORTIVA VELERS BARCELONA (A.E.V.B.),"Reis Catolics 3, 4t 3r",08017,Barcelona,Barcelonès,/,asociacionvelerosbarcelona@gmail.com,Clubs i Associacions Esportives,"Creuers, Pati català de vela, Vela lleugera"
18299,CLUB CICLISTA COLLBATO,"C/ Dosrius, 24",08293,Collbató,Baix Llobregat,661819117 /,c.c.collbato@hotmail.com,Clubs i Associacions Esportives,Ciclisme
18300,CLUB DE PITCH AND PUTT CANAL OLIMPIC,"Avinguda Canal Olimpic, 2",08860,Castelldefels,Baix Llobregat,936362896 / 936362880,pitchandputt.equacat@gencat.cat,Clubs i Associacions Esportives,Pitch and Putt/Pitch&Putt
18301,CLUB DE FUTBOL HAILUKONG BARCELONA,"C/ Hurtado, 31, 2n 4a",08022,Barcelona,Barcelonès,625585318 /,info@hlkfutbol.com,Clubs i Associacions Esportives,Futbol
18303,CLUB HIPICA LLIVIA,Antic Camí d'Ur s/n Hipica de Llívia,17527,Llívia,Cerdanya,676229505 /,terralybica@terrlybica.cat,Clubs i Associacions Esportives,Hípica
18304,CLUB ESPORTIU BEACH TENNIS TORREDEMBARRA,"C/ Rosella, s/n Pavelló Poliesportiu Sant Jordi",43830,Torredembarra,Tarragonès,610724605 /,torredembarrabeachtennis@gmail.com,Clubs i Associacions Esportives,"Padel, Tenis platja, Tennis"
18305,ASSOCIACIO ESPORTIVA ROLLER GRIND BARCELONA,"C/ Castella, 15, local 10",08018,Barcelona,Barcelonès,931620442 /,rollergrind360@gmail.com,Clubs i Associacions Esportives,"Patinatge de Velocitat, Patinatge sobre rodes, Patinatge velocitat sobre gel"
18306,CLUB DE FUTBOL FLAMA,"C/ Bruc, 70-72",08240,Manresa,Bages,649065412 /,flamafutbol20@gmail.com,Clubs i Associacions Esportives,Futbol Set
18307,CLUB PADEL ASCO,"Alcalde Tomas Biarnes, s/n",43791,Ascó,Ribera d'Ebre,977404035 /,padelasco@gmail.com,Clubs i Associacions Esportives,Padel
18308,CLUB ESPORTIU DANSEVA,"del Pont, 16",08591,Aiguafreda,Vallès Oriental,629636616 /,clubdanseva@gmail.com,Clubs i Associacions Esportives,Gimnàstica Aeròbica i Fitnes
18309,ESPLU-ARTISTIC CLUB PATI 2017,"de les Moreres, s/n",08950,Esplugues de Llobregat,Baix Llobregat,634881215 /,esplu-artistic@gmail.com,Clubs i Associacions Esportives,"Patinatge artístic, Patinatge sobre rodes"
18310,CLUB JIU JITSU MALGRAT DE MAR,"Tarragona, 28",08360,Malgrat de Mar,Maresme,615325214 / 937652231,modernjutsuryumalgrat@gmail.com,Clubs i Associacions Esportives,"Defensa personal, Jiu-jitsu, Kick boxing"
18311,CLUB NATACIO SPARTAN SHARKS BADALONA,"Galicia, 20, bajos",08915,Badalona,Barcelonès,687624288 /,spartansharksteam@gmail.com,Clubs i Associacions Esportives,"Aigües obertes, Natació"
18312,CLUB BTT LA GARRIGA,"Maduixers, s/n",08530,"Garriga, la",Vallès Oriental,639779310 /,clubbttlg@outlook.com,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Duatló (Triatló)"
18313,CLUB BOXA BARCELONA,"Aragó, 259, 1r 2a B",08007,Barcelona,Barcelonès,615397963 /,direccion@clubboxabarcelona.es,Clubs i Associacions Esportives,Boxa
18314,ASSOCIACIO ESPORTIVA 12+1 CATALUNYA,"Castell de Tona, 20 A",43850,Cambrils,Baix Camp,686236516 /,campustecnificacion12.1@gmail.com,Clubs i Associacions Esportives,"Futbol, Futbol sala (Futbol cinc)"
18315,CLUB ESPORTIU DAJO,"Creu Roja, 15, 2n 1a",08904,"Hospitalet de Llobregat, l'",Barcelonès,629817700 /,clubesportiudajo@gmail.com,Clubs i Associacions Esportives,"Bàsquet, Futbol, Handbol, Padel, Petanca, Pitch and Putt/Pitch&Putt, Tennis"
18316,CLUB CICLISTA GLOBER BIKES BARCELONA,"Andrade, 206, local 11",08020,Barcelona,Barcelonès,935160617 /,globerfixie@gmail.com,Clubs i Associacions Esportives,Ciclisme
18317,CLUB FUTBOL FAMULUS TEAM PALAMOS,"Pradells, 5, casa B",17230,Palamós,Baix Empordà,628198822 /,famulusteam@gmail.com,Clubs i Associacions Esportives,"Futbol Onze, Futbol Set, Futbol platja, Futbol sala (Futbol cinc)"
18318,CLUB ESPORTIU D'AEROMODELISME CATALUNYA CENTRAL,"Fra Jacint Coma i Galí, 8-10",08243,Manresa,Bages,671981492 /,magibaselga@gmail.com,Clubs i Associacions Esportives,Aeromodelisme
18319,CLUB KARATE CAPITAN NEMO,"Gran Canaria, 25",43006,Tarragona,Tarragonès,977541731 /,ckcapitannemo@gmail.com,Clubs i Associacions Esportives,"Fisic-culturisme, Karate"
18320,CLUB DE AEROMODELISMO BCN 2018,"Can Suris, s/n Edifici Citilab",08940,Cornellà de Llobregat,Baix Llobregat,617301632 /,fmartinez@fmic.es,Clubs i Associacions Esportives,Aeromodelisme
18321,CLUB HIPIC ESPLUGA DE FRANCOLI,"Milmanda, 4, 3r 2a",43440,"Espluga de Francolí, l'",Conca de Barberà,659482555 /,hipicafrancoli@gmail.com,Clubs i Associacions Esportives,"Doma clásica, Hípica, Salts d'obstacle"
18322,CLUB ESPORTIU PARTIT DE COSTELLADA,"Selva del Camp, 19, 2n 2a",43201,Reus,Baix Camp,977007109 /,toni.valles85@gmail.com,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
18323,CLUB ATLETIC MASNOU,"President John Fitzgerald Kennedy, 58",08320,"Masnou, el",Maresme,935708440 /,,Clubs i Associacions Esportives,"Atletisme, Futbol, Futbol sala (Futbol cinc), Handbol, Hoquei sobre patins, Judo, Voleibol"
18324,CLUB PIRAGUISME BADALONA,"Caracas, 43-45, nave 8",08030,Barcelona,Barcelonès,972580639 / 972582535,info@dragonboatbadalona.com,Clubs i Associacions Esportives,"Aigües braves, Aigües tranquil·les, Caiac de Mar, Caiac polo  , Piragüisme"
18325,CLUB ESPORTIU ARTS MARCIALS EL PAPIOL,"de la Granja, bloc 4, escala 1",08820,"Prat de Llobregat, el",Baix Llobregat,/ 931644897,borjahm@icasf.net,Clubs i Associacions Esportives,"Defensa personal, Judo"
18326,CLUB EXCURSIONISTA I ESCALADA ROSSELLO,"Secla del Cap, 7, local de Joventut Municipal",25124,Rosselló,Segrià,669996158 /,C.E.E.R@outlook.com,Clubs i Associacions Esportives,"Escalada, Excursionisme"
18327,CLUB ESCACS LLIÇA DE VALL,"Passeig de l'Església, s/n",08185,Lliçà de Vall,Vallès Oriental,666870145 /,escacsllissadevall@gmail.com,Clubs i Associacions Esportives,Escacs
18328,CLUB DEPORTIVO DE BUCEO 100 BARES,"Agustina de Aragón, 34, bajo 1a",08860,Castelldefels,Baix Llobregat,609002206 /,club100bares@gmail.com,Clubs i Associacions Esportives,"Activitats subaquàtiques, Apnea, Escafandrisme"
18329,ASSOCIACIO ESPORTIVA BEACH TENNIS BADALONA,"Menendez Pelayo, 24, 1r",08915,Badalona,Barcelonès,655910351 /,beachtennisbadalona@gmail.com,Clubs i Associacions Esportives,Tenis platja
18330,CLUB AUTOMOBILISME ESCUDERIA MALAVELLA REGULARITAT CLASSICS,"Francesc Macià, 3",17455,Caldes de Malavella,Selva,972470091 /,escuderia.malavella@gmail.com,Clubs i Associacions Esportives,Automobilisme
18331,CLUB CICLISTA PUIG-REIG 2017,"Les Abelles, 20",08692,Puig-reig,Berguedà,650562832 /,ccpuigreig@gmail.com,Clubs i Associacions Esportives,Ciclisme
18332,MARTORELL PADEL CLUB,"Josep Vilar, s/n Pavelló Esportiu Can Cases",08760,Martorell,Baix Llobregat,/,,Clubs i Associacions Esportives,Padel
18333,ASSOCIACIO ESPORTIVA TOTAL TERRES DE L'EBRE,"Barcelona, 69",43870,Amposta,Montsià,667494149 /,campus.futboltotal@hotmail.com,Clubs i Associacions Esportives,"Futbol, Handbol"
18334,MOTOR CLUB CERDANYOLA 2017,"la Clota, s/n (Masia Cordellas)",08290,Cerdanyola del Vallès,Vallès Occidental,619813597 /,motorclubcerdanyola@gmail.com,Clubs i Associacions Esportives,"Automobilisme, Motociclisme"
18335,CLUB ESPORTIU TEAM ALVAREZ ESPIRITU INDOMABLE,"Cinto Verdaguer, 6, 5è 2a",17200,Blanes,Selva,665133100 /,javier.catt.ittaf@gmail.com,Clubs i Associacions Esportives,Taekwon-do
18336,CLUB ESPORTIU MONTBIKE MONTBRIO,"/Magdalena Blay, local 2",43340,Montbrió del Camp,Baix Camp,977826968 /,cemontbike@gmail.com,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Ciclisme en carretera, Ciclocròs, Cicloturisme"
18337,CLUB CICLISTA MARESME TROPICAL,"de les Corts, 5",08349,Cabrera de Mar,Maresme,936387251 /,pablo@thebikevillage.com,Clubs i Associacions Esportives,"BMX (Ciclisme), BTT (ciclisme en bicicleta tot terreny), Ciclisme en carretera, Ciclisme en pista, Ciclocròs, Cicloturisme, Paraciclisme (ciclisme adaptat), Trial (trial-bici)"
18338,PAK I CARE CRICKET CLUB BADALONA,"Pau Piferrer, 104",08914,Badalona,Barcelonès,637403671 /,pakicare2016@gmail.com,Clubs i Associacions Esportives,Cricket
18339,CLUB TRIAL 4X4 CATALUNYA,"Sant Elies, 51",08458,Sant Pere de Vilamajor,Vallès Oriental,938450479 / 938450479,cct4x4@gmail.com,Clubs i Associacions Esportives,Automobilisme
18340,CLUB AERI BONAVISTA,"Mas Gubern, 39 (Joanet)",17102,Arbúcies,Selva,626490943 /,clubaeribonavista@gmail.com,Clubs i Associacions Esportives,Aeromodelisme
18341,CLUB ESPORTIU KARATE YONDAN TARRACO,"Major, 13, local 2",43151,"Pallaresos, els",Tarragonès,619603890 /,ionbaloiu@gmail.com,Clubs i Associacions Esportives,Karate
18342,ASOCIACION DEPORTIVA RAYO VILADECANS,"del Prat, 1, 1r 2a",08840,Viladecans,Baix Llobregat,663289971 /,antonioguerrero85@gmail.com,Clubs i Associacions Esportives,Futbol
18343,CLUB ESPORTIU ESQUAIX ICARIA,"Antonio Machado, 41",08250,Sant Joan de Vilatorrada,Bages,616064878 / 938726323,joan.casahuga@gmail.com,Clubs i Associacions Esportives,"Esquaix, Softraquet"
18344,CLUB PADEL ORGANYA,"de les Lloredes, s/n",25794,Organyà,Alt Urgell,69913569 /,padelorg@gmail.com,Clubs i Associacions Esportives,Padel
18345,CLUB ESPORTIU BARRI RIERA,"Francesc Moragues, 3-9",08940,Cornellà de Llobregat,Baix Llobregat,680178449 /,cebarririera@gmail.com,Clubs i Associacions Esportives,Futbol sala (Futbol cinc)
18346,SOCIETAT OCELLAIRE TRES CREUS,"Vic, 73",08160,Montmeló,Vallès Oriental,936398779 /,jujomuve3@hotmail.com,Clubs i Associacions Esportives,"Caça, Ocells fringíl·lids"
18347,CLUB ESPORTIU L'EIXAMPLE SABADELL,"c/ Fray Luis de León, 179",08203,Sabadell,Vallès Occidental,636620063 /,martabomo1@hotmail.com,Clubs i Associacions Esportives,"Agility, Ball esportiu, Boxa, Fisic-culturisme, Gimnàstica, Halterofília, Judo, Kick boxing, Muay-thaï, Padel"
18348,ILURO CLUB ESPORTIU,"Camí Ral, 39",08301,Mataró,Maresme,937575900 /,info.fitnessfactoryclub@gmail.com,Clubs i Associacions Esportives,"Activitats subaquàtiques, Agility, Ball esportiu, Boxa, Fisic-culturisme, Gimnàstica, Halterofília, Judo, Kick boxing, Muay-thaï, Padel"
18349,CLUB KARATE SAKURA VIC,"d'Osona, 7, 1r 1a",08500,Vic,Osona,627448525 /,clubsakura@icloud.com,Clubs i Associacions Esportives,"Jiu-jitsu, Karate, Kendo, Kung-fu"
18350,CLUB ESPORTIU HYUN SU PALLEJA,Atlantida 37 Local,08780,Pallejà,Baix Llobregat,651557030 /,info@gimnasiovalirana.com,Clubs i Associacions Esportives,"Defensa personal, Gimnàstica, Gimnàstica Aeròbica i Fitnes, Gimnàstica ritmica, Hapkido, Taekwon-do"
18351,CLUB ESPORTIU GAUDEIX DEL BASQUET BARCELONA,"Mallorca, 510, esc. 1, 5è 1a",08013,Barcelona,Barcelonès,652849477 / 932444847,mennajarque@hotmail.com,Clubs i Associacions Esportives,Basquetbol
18352,ASSOCIACIO KARATE NIWA TORRELLES DE FOIX,"Menta, 37 (Plana de les Torres)",08737,Torrelles de Foix,Alt Penedès,617526209 /,maserranok@yahoo.es,Clubs i Associacions Esportives,Karate
18353,CLUB DE BOXA ALT EMPORDA,"Rabós d'Empordà, 9",17600,Figueres,Alt Empordà,671328853 /,gymgoldsrach@gmail.com,Clubs i Associacions Esportives,"Boxa, Kick boxing, Muay-thaï"
18354,CLUB ESPORTIU LA PLANA SANTA BARBARA,"Jaume I, 29",43570,Santa Bàrbara,Montsià,640617264 /,c.e.laplanafemeni@gmail.com,Clubs i Associacions Esportives,Futbol
18355,CLUB KARATE HANS BCN,"C/ Lugo, 40",08032,Barcelona,Barcelonès,606710542 /,dojohans@gmail.com,Clubs i Associacions Esportives,Karate
18357,CLUB CICLISTA CICLES SANS,"Pla del Diable, 1",08720,Vilafranca del Penedès,Alt Penedès,938901706 /,info@ciclessans.net,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Ciclisme, Ciclisme en carretera, Ciclocròs, Cicloturisme"
18358,CLUB PARAPENT DRAP-AIRE,"Pere Serra, 75",08173,Sant Cugat del Vallès,Vallès Occidental,Barcelona /,clubdrapaire@gmail.com,Clubs i Associacions Esportives,Parapent
18359,CLUB HANDBOL PLATJA MIDGARD LA ROCA DEL VALLES,"Gayarre, 27, 1r 1a",08430,"Roca del Vallès, la",Vallès Oriental,606315816 / 937988590,hpmidgard@gmail.com,Clubs i Associacions Esportives,Handbol platja
18360,BARCELONA ROLLER FREESTYLE SKATING CLUB,"Ricart, 22, 2n 10è",08004,Barcelona,Barcelonès,933258971 /,bcnfreestylesc@gmail.com,Clubs i Associacions Esportives,Patinatge sobre rodes
18361,CLUB ESPORTIU ARES ARENA,Josep Maria Folch i Torres 7,08105,Sant Fost de Campsentelles,Vallès Oriental,667652086 /,aresarenagym@gmail.com,Clubs i Associacions Esportives,Curses d'obstacles (OCR)
18362,CLUB REM CAMBRILS,"de l'Ajuntament, 1 (Palau d'Esports)",43850,Cambrils,Baix Camp,620275899 /,info@remcambrils.com,Clubs i Associacions Esportives,Rem
18363,CLUB DE CURSES D'ORIENTACIO CAPELLADES,"Maties Guasch, 49, 2n 2a",08786,Capellades,Anoia,661088973 /,escolamuntanyacapellades@gmail.com,Clubs i Associacions Esportives,Curses d'orientació
18364,CLUB JUDO I JIU-JITSU MORA,"Joan Miró, 10",43740,Móra d'Ebre,Ribera d'Ebre,977414220 /,jbertomeu@befos.net,Clubs i Associacions Esportives,"Boxa, Fisic-culturisme, Gimnàstica Aeròbica i Fitnes, Judo, Judo (sords), Judo cecs, Kick boxing, Lluita, Muay-thaï"
18365,CLUB CICLISTA ARENYS DE MAR-MARESMECYCLING,"de Ronda, 5, 1r 1a",08350,Arenys de Mar,Maresme,633091555 /,administracio@maresmecycling.cat,Clubs i Associacions Esportives,Ciclisme
18366,CLUB PADEL MONTBLANC,"Lluís Companys, 35, nau 8",43400,Montblanc,Conca de Barberà,638149229 /,concapadel@gmail.com,Clubs i Associacions Esportives,Padel
18367,CLUB ESPORTIU ALSSALA,"Nou, 6",43762,"Riera de Gaià, la",Tarragonès,636271152 /,cealssala@gmail.com,Clubs i Associacions Esportives,"Alpinisme, Atletisme, Canicross, Escalada, Esports de tracció, Excursionisme, Excursionisme esportiu, Triatló"
18368,RUNTRAIL PENEDES CLUB ESPORTIU,"Garraf, 6, 3r",43700,"Vendrell, el",Baix Penedès,606885574 /,runtrailpendes@gmail.com,Clubs i Associacions Esportives,"Atletisme, Ciclisme, Excursionisme, Triatló"
18370,BEACH HANDBALL CLUB ESPORTIU PLAN B,Anselm Clave 45,08430,"Roca del Vallès, la",Vallès Oriental,/,oriol14@hotmail.com,Clubs i Associacions Esportives,Handbol platja
18371,CLUB HIPIC TERRA EQUESTRE ARENYS DE MUNT,Riera Subirans s/n,08358,Arenys de Munt,Maresme,620688892 /,terraequestre@gmail.com,Clubs i Associacions Esportives,"Concurs complet d'equitació, Doma clásica, Hípica, Salts d'obstacle"
18372,CLUB ESPORTIU MUAY THAI I KICK BOXING RUBI,"C/ Marconi, 1, àtic 1a",08191,Rubí,Vallès Occidental,615512611 /,naimcv93@gmail.com,Clubs i Associacions Esportives,"Kick boxing, Muay-thaï"
18373,ASSOCIACIO ESPORTIVA THE JUNGLE HIP HOP LA SELVA,"C/ Pere Costa, 42",17430,Santa Coloma de Farners,Selva,698221317 /,thejunglehiphop@gmail.com,Clubs i Associacions Esportives,"Hip Hop, Street & pop dance"
18374,ASSOCIACIO ESPORTIVA MUNEN-MUSHIN OLOT,"C/ Sant Antoni, 13, 1r 2a",17857,Sant Joan les Fonts,Garrotxa,972290334 / 972290334,badassian26@gmail.com,Clubs i Associacions Esportives,"Aikido, Defensa personal, Judo"
18375,ASSOCIACIO ESPORTIVA KARATE I GOSHIN-DO REUS,"Joaquim Guitert Fontseré, 6",43470,"Selva del Camp, la",Baix Camp,619470901 /,manuelgoshin@gmail.com,Clubs i Associacions Esportives,"BTT (ciclisme en bicicleta tot terreny), Boxa, Fisic-culturisme, Gimnàstica Aeròbica i Fitnes, Goshin-do, Judo, Karate, Taekwon-do"
18376,CLUB ESPORTIU SELF DEFENSE TORTOSA,"C/ Santa Maria Rosa Moles, 25, esc. B, 2n B",43500,Tortosa,Baix Ebre,652560798 /,C.E.Selfdefense@hotmail.com,Clubs i Associacions Esportives,Defensa personal
18380,CLUB ESPORTIU GOUS VALLS,"C/ Abat Llort, 19",43800,Valls,Alt Camp,644891810 /,escuelagous@gmail.com,Clubs i Associacions Esportives,Taekwon-do
18381,ASOCIACION DEPORTIVA ARTES MARCIALES BOZA,"C/ Girona, 310",08226,Terrassa,Vallès Occidental,600215751 /,miguelhogarasist@gmail.com,Clubs i Associacions Esportives,Defensa personal
18382,CLUB DE TIR FALSET,"C/ Portal del Bou, 4",43730,Falset,Priorat,687038366 /,mexon@hotmail.com,Clubs i Associacions Esportives,Tir al Plat
18383,CLUB AERI LA SEGARRA,"C/ Castell de Santa Maria, s/n",25271,Sant Guim de Freixenet,Segarra,609502745 /,clubaerilasegarra@gmail.com,Clubs i Associacions Esportives,Ultralleugers
18384,CLUB ESPORTIU DANCE & FUN CAPELLADES,"C/ Onze de Setembre, 3",08786,Capellades,Anoia,667274284 /,sonia.romera.r@hotmail.com,Clubs i Associacions Esportives,"Gimnàstica Aeròbica i Fitnes, Hip Hop"
18385,TRIALSPORT CLUB ESPORTIU OSONA,"C/ Mas de Bigues, s/n",08500,Vic,Osona,629888111 /,trialsport.es@gmail.com,Clubs i Associacions Esportives,"BMX (Ciclisme), BTT (ciclisme en bicicleta tot terreny), Ciclisme, Ciclisme en carretera, Ciclocròs, Trial (trial-bici)"
18386,CLUB DE PATINATGE ARTISTIC CERCS,"Camí Romà, 9A",08698,Cercs,Berguedà,610454738 /,patinatgesantjordi@gmail.com,Clubs i Associacions Esportives,Patinatge artístic
18387,ASSOCIACIO ESPORTIVA LA CRISTALERIA,"C/ Sant Pere Claver, 4",25005,Lleida,Segrià,675807250 /,aelacristaleria@gmail.com,Clubs i Associacions Esportives,"Atletisme, Boxa"
18388,ASSOCIACIO ESPORTIVA GIMNASTICA RITMICA ONIX,"Joaquim Valls, 31",08016,Barcelona,Barcelonès,619545556 / 692036974,aeonix@gmail.com,Clubs i Associacions Esportives,Gimnàstica ritmica
18389,CLUB DE VOLEIBOL PLAYA EL VENDRELL,"C/ General Prim, 19",43700,"Vendrell, el",Baix Penedès,682628300 /,clubdevoleibolelvendrell@gmail.com,Clubs i Associacions Esportives,"Volei Platja, Volei en pista"
18390,CLUB JUDO VILASECA,"de Barenys, 4A",43480,Vila-seca,Tarragonès,636987306 /,javier@dojotarraco.es,Clubs i Associacions Esportives,Judo
18391,ASSOCIACIO ESPORTIVA FUTBOL MORENO SANT SADURNI,"Joan Fuster i Ortells, 14",08770,Sant Sadurní d'Anoia,Alt Penedès,652463190 /,info@campusalexmoreno.es,Clubs i Associacions Esportives,Futbol
18392,CLUB ESPORTIU CURSES PER MUNTANYA LES FRANQUESES,"Mas Colomé, 14-16, 2n 2a",08520,"Franqueses del Vallès, les",Vallès Oriental,658842123 / 936252134,eric_castellar@hotmail.com,Clubs i Associacions Esportives,"Alpinisme, Atletisme, BTT (ciclisme en bicicleta tot terreny), Bicicleta d'Orientació, Canicross, Ciclocròs, Curses d'orientació, Excursionisme esportiu, Orientació a peu"
18393,CLUB BADMINTON CALAFELL,"Urbanització Alorda Park, G-2",43820,Calafell,Baix Penedès,635488725 /,cbadcalafell@gmail.com,Clubs i Associacions Esportives,Bàdminton
18395,CLUB BOXA SWING SEGUR 2018,"Plaça Mediterrània, 6, soterrani Segur de Calafell",43882,Calafell,Baix Penedès,977673482 /,swingboxingclub@gmail.com,Clubs i Associacions Esportives,"Boxa, Jiujitsu brasiler, Karate, Muay-thaï"
18396,CLUB ESPORTIU RODRIGUEZ MARTIAL ART DEFENSA PERSONAL,"Plaça Europa, s/n (Palau Esports Congressos)",17250,Castell-Platja d'Aro,Baix Empordà,972818769 /,esports@platjadaro.com,Clubs i Associacions Esportives,Defensa personal
18397,CLUB PADEL LA PENYA ESPORTS CASTELLAR DEL VALLES,"Can Avellaneda, 24",08211,Castellar del Vallès,Vallès Occidental,685526345 /,penyasports1@gmail.com,Clubs i Associacions Esportives,Padel
18398,CLUB ESPORTIU THE TEAM LION SALOU,"C/ del Sol, 70, 3r 3a",43840,Salou,Tarragonès,667311711 /,theteamlion@hotmail.com,Clubs i Associacions Esportives,"Kick boxing, Muay-thaï"
18399,SANT FELIU KORFBAL CLUB,"C/ Josep Gallart, 10, 1F",17220,Sant Feliu de Guíxols,Baix Empordà,620780481 /,sanfekc@gmail.com,Clubs i Associacions Esportives,Korfbal
18400,ASOCIACION DE PATINAJE VELOCIDAD LLIÇA D'AMUNT,"Alacant, 7, 2n 1a. esc. B",08186,Lliçà d'Amunt,Vallès Oriental,658626627 /,rubenlopezgarrido@gmail.com,Clubs i Associacions Esportives,Patinatge de Velocitat
18401,CLUB KARATE BAGES,"Industria, 9",08279,Avinyó,Bages,625515416 /,rafaelserrano@shindokai.es,Clubs i Associacions Esportives,"Defensa personal, Karate, Kobudo"
18402,CLUB ESPORTIU FRANCISCANS DE VILANOVA I LA GELTRU,"dels Franciscans, 4",08800,Vilanova i la Geltrú,Garraf,938106511 /,colegi@santbonaventura.cat,Clubs i Associacions Esportives,"Atletisme, Bàsquet, Futbol, Patinatge sobre rodes, Taekwon-do, Voleibol"
18403,CYCLOCAT CLUB CICLISTA TERRASSA,"Major de Sant Pere, 90, 2n 1a",08222,Terrassa,Vallès Occidental,656670322 /,info@cyclocat.cat,Clubs i Associacions Esportives,"BMX (Ciclisme), BTT (ciclisme en bicicleta tot terreny), Ciclisme, Ciclisme en carretera, Ciclisme en pista, Ciclocròs, Cicloturisme, Paraciclisme (ciclisme adaptat), Trial (trial-bici)"
18404,CLUB ESPORTIU GIMNÀSTIC SILENC,"Lluis Barcelo, 18, baixos",17410,Sils,Selva,972168647 /,silencesportiu@gmail.com,Clubs i Associacions Esportives,"Gimnàstica, Gimnàstica Aeròbica i Fitnes, Gimnàstica Estètica de Grup, Gimnàstica acrobàtica, Gimnàstica artística, Gimnàstica ritmica, Trampolí"
18405,CLUB CICLISTA SANTVI,"Montserrat, 3",08620,Sant Vicenç dels Horts,Baix Llobregat,607205150 /,actrosjordi2@gmail.com,Clubs i Associacions Esportives,Ciclisme
18406,CLUB HIPIC RENAU,"Polígon 3, parcel.la 2",43886,Renau,Tarragonès,633730787 /,mforcada@equiclubrenau.es,Clubs i Associacions Esportives,Hípica
18407,CLUB PARAPENT ORGANYA,"de Lleida, 12 B",25794,Organyà,Alt Urgell,973382094 / 973382094,info@parapentorganya.cat,Clubs i Associacions Esportives,Parapent
18408,TRIAL CLUB CORNUDELLA DE MONTSANT,"Tou, 1",43360,Cornudella de Montsant,Priorat,657969185 /,jamigo@ogima.cat,Clubs i Associacions Esportives,Motociclisme
18409,CLUB PATI CATALUNYA,"Comte Güell, 25-27, 1r 2a",08028,Barcelona,Barcelonès,685548023 /,,Clubs i Associacions Esportives,"Patinatge de Velocitat, Patinatge sobre rodes"
18410,ASSOCIACIO TAEKWONDO SANT JOSEP SVH,"C/ Benicarló, 30",08620,Sant Vicenç dels Horts,Baix Llobregat,676102031 /,lidiatkd@hotmail.com,Clubs i Associacions Esportives,Taekwon-do
18411,CLUB ESPORTIU WHITE SHARKS HANDBOL PLATJA,"Uruguai, 14, 2n B",08402,Granollers,Vallès Oriental,938708975 /,whitesharkshp@gmail.com,Clubs i Associacions Esportives,Handbol platja
18412,CLUB ESPORTIU TRI KIDS SANT ADRIA,"Dolores Ibarruri Pasionaria, s/n",08930,Sant Adrià de Besòs,Barcelonès,610912843 /,trikidss@gmail.com,Clubs i Associacions Esportives,"Atletisme, Ciclisme, Natació, Triatló"
